2025-11-28 10:39:00 | DEBUG    | __main__:home:116 - add http log success
2025-11-28 10:39:00 | INFO     | __main__:home:140 - 小程序启动
2025-11-28 10:46:17 | DEBUG    | __main__:home:116 - add http log success
2025-11-28 10:46:17 | INFO     | __main__:home:140 - 小程序启动
2025-11-28 10:57:04 | DEBUG    | __main__:home:116 - add http log success
2025-11-28 10:57:04 | INFO     | __main__:home:140 - 小程序启动
2025-11-28 10:58:39 | DEBUG    | __main__:home:116 - add http log success
2025-11-28 10:58:39 | INFO     | __main__:home:140 - PySide6 Version 6.8.3
2025-11-28 10:58:39 | INFO     | __main__:home:140 - 添加小程序 基础模板  {'id': 'ROStart123154512a5ada6090de92ee1', 'name': '基础模板', 'author': 'ROrange', 'description': '模板-小程序基础模板', 'version': '1.1', 'logo': 'logo.png', 'widget': 'PySide6-QML'}
2025-11-28 10:58:39 | INFO     | __main__:home:140 - 添加小程序 相机示例  {'id': 'ROStarte1bd14c3d9a937a2dedc9ca2e', 'name': '相机示例', 'author': 'ROrange', 'description': '支持显示相机中的画面', 'version': '1.1', 'logo': 'logo.png', 'widget': 'PySide6-QML'}
2025-11-28 10:58:39 | INFO     | __main__:home:140 - 添加小程序 翻译助手  {'id': 'ROStartadfb548c2b0657288330ef3f2', 'name': '翻译助手', 'author': 'ROrange', 'description': '调用AI进行中英文互译', 'version': '1.1', 'logo': 'logo.png', 'widget': 'PySide6-QML'}
2025-11-28 10:58:39 | INFO     | __main__:home:140 - 添加小程序 BLE开发  {'id': 'ROStart2dbde45369d11afb921c6c71f', 'name': 'BLE开发', 'author': 'ROrange', 'description': '低功耗蓝牙操作程序', 'version': '1.1', 'logo': 'logo.png', 'widget': 'PySide6-QML'}
2025-11-28 10:58:39 | INFO     | __main__:home:140 - 添加小程序 APP四界面  {'id': 'ROStart978dc4379bc8622a42c93e3b2', 'name': 'APP四界面', 'author': 'ROrange', 'description': '主流APP，四界面切换模板', 'version': '1.2', 'logo': 'logo.png', 'widget': 'PySide6-QML'}
2025-11-28 10:58:39 | INFO     | __main__:home:140 - 添加小程序 UI后端模板  {'id': 'ROStart26e4a41b0bbf0f4b0dead18eb', 'name': 'UI后端模板', 'author': 'ROrange', 'description': '模板-支持FluentUI界面库，及Py后端', 'version': '1.2', 'logo': 'logo.png', 'widget': 'PySide6-QML'}
2025-11-28 10:58:39 | INFO     | __main__:home:140 - 添加小程序 UI控件模板  {'id': 'ROStart6627347dd9bd1b63408c487db', 'name': 'UI控件模板', 'author': 'ROrange', 'description': '模板-使用FluentUI界面框架', 'version': '1.2', 'logo': 'logo.png', 'widget': 'PySide6-QML'}
2025-11-28 10:58:39 | INFO     | __main__:home:140 - 添加小程序 代码调试  {'id': '9826e6f9d6df4e5397b86a37bdb3c2db', 'name': '代码调试', 'version': '1.0', 'logo': 'logo.png', 'widget': 'pyside6-qml'}
2025-11-28 10:58:39 | INFO     | __main__:home:140 - 添加小程序 RO浏览器  {'id': '17a8dd5e958e43b181a59ba17e504627', 'name': 'RO浏览器', 'author': 'ROrange', 'description': '示例-可以固定的打开某个网站', 'version': '1.0', 'logo': 'logo.png', 'widget': 'PySide6-QML'}
2025-11-28 10:58:39 | INFO     | __main__:home:140 - 启动程序 RO启动器
2025-11-28 10:58:39 | INFO     | __main__:home:140 - 保存配置文件 config.yaml
2025-11-28 10:58:39 | INFO     | __main__:home:140 - 保存配置文件 config.yaml
2025-11-28 10:58:42 | INFO     | __main__:home:140 - file:///data/data/org.randorange.rostart/files/app/qml/Four.qml:117-->Info: 下载代码完成 0
2025-11-28 10:58:42 | INFO     | __main__:home:140 - 添加小程序 RO浏览器 17a8dd5e958e43b181a59ba17e504627
2025-11-28 10:58:45 | INFO     | __main__:home:140 - 小程序启动
2025-11-28 10:58:45 | INFO     | __main__:home:140 - 启动程序 RO浏览器
2025-11-28 10:58:46 | INFO     | __main__:home:140 - WebView created successfully in UI thread
2025-11-28 10:58:46 | WARNING  | __main__:home:149 - None:0-->Warning: makeCurrent(): no EGLSurface, likely Surface destroyed by Android.
2025-11-28 10:58:46 | WARNING  | __main__:home:149 - None:0-->Warning: QRhiGles2: Failed to make context current. Expect bad things to happen.
2025-11-28 10:58:46 | WARNING  | __main__:home:149 - None:0-->Warning: Failed to start frame
2025-11-28 10:59:07 | DEBUG    | __main__:home:116 - add http log success
2025-11-28 10:59:07 | INFO     | __main__:home:140 - PySide6 Version 6.8.3
2025-11-28 10:59:07 | INFO     | __main__:home:140 - 添加小程序 基础模板  {'id': 'ROStart123154512a5ada6090de92ee1', 'name': '基础模板', 'author': 'ROrange', 'description': '模板-小程序基础模板', 'version': '1.1', 'logo': 'logo.png', 'widget': 'PySide6-QML'}
2025-11-28 10:59:07 | INFO     | __main__:home:140 - 添加小程序 相机示例  {'id': 'ROStarte1bd14c3d9a937a2dedc9ca2e', 'name': '相机示例', 'author': 'ROrange', 'description': '支持显示相机中的画面', 'version': '1.1', 'logo': 'logo.png', 'widget': 'PySide6-QML'}
2025-11-28 10:59:07 | INFO     | __main__:home:140 - 添加小程序 翻译助手  {'id': 'ROStartadfb548c2b0657288330ef3f2', 'name': '翻译助手', 'author': 'ROrange', 'description': '调用AI进行中英文互译', 'version': '1.1', 'logo': 'logo.png', 'widget': 'PySide6-QML'}
2025-11-28 10:59:07 | INFO     | __main__:home:140 - 添加小程序 BLE开发  {'id': 'ROStart2dbde45369d11afb921c6c71f', 'name': 'BLE开发', 'author': 'ROrange', 'description': '低功耗蓝牙操作程序', 'version': '1.1', 'logo': 'logo.png', 'widget': 'PySide6-QML'}
2025-11-28 10:59:07 | INFO     | __main__:home:140 - 添加小程序 APP四界面  {'id': 'ROStart978dc4379bc8622a42c93e3b2', 'name': 'APP四界面', 'author': 'ROrange', 'description': '主流APP，四界面切换模板', 'version': '1.2', 'logo': 'logo.png', 'widget': 'PySide6-QML'}
2025-11-28 10:59:07 | INFO     | __main__:home:140 - 添加小程序 UI后端模板  {'id': 'ROStart26e4a41b0bbf0f4b0dead18eb', 'name': 'UI后端模板', 'author': 'ROrange', 'description': '模板-支持FluentUI界面库，及Py后端', 'version': '1.2', 'logo': 'logo.png', 'widget': 'PySide6-QML'}
2025-11-28 10:59:07 | INFO     | __main__:home:140 - 添加小程序 UI控件模板  {'id': 'ROStart6627347dd9bd1b63408c487db', 'name': 'UI控件模板', 'author': 'ROrange', 'description': '模板-使用FluentUI界面框架', 'version': '1.2', 'logo': 'logo.png', 'widget': 'PySide6-QML'}
2025-11-28 10:59:07 | INFO     | __main__:home:140 - 添加小程序 代码调试  {'id': '9826e6f9d6df4e5397b86a37bdb3c2db', 'name': '代码调试', 'version': '1.0', 'logo': 'logo.png', 'widget': 'pyside6-qml'}
2025-11-28 10:59:07 | INFO     | __main__:home:140 - 添加小程序 RO浏览器  {'id': '17a8dd5e958e43b181a59ba17e504627', 'name': 'RO浏览器', 'author': 'ROrange', 'description': '示例-可以固定的打开某个网站', 'version': '1.0', 'logo': 'logo.png', 'widget': 'PySide6-QML'}
2025-11-28 10:59:07 | INFO     | __main__:home:140 - 启动程序 RO启动器
2025-11-28 10:59:07 | INFO     | __main__:home:140 - 保存配置文件 config.yaml
2025-11-28 10:59:07 | INFO     | __main__:home:140 - 保存配置文件 config.yaml
2025-11-28 10:59:10 | INFO     | __main__:home:140 - 小程序启动
2025-11-28 10:59:10 | INFO     | __main__:home:140 - 启动程序 RO浏览器
2025-11-28 10:59:11 | INFO     | __main__:home:140 - WebView created successfully in UI thread
2025-11-28 10:59:11 | WARNING  | __main__:home:149 - None:0-->Warning: makeCurrent(): no EGLSurface, likely Surface destroyed by Android.
2025-11-28 10:59:11 | WARNING  | __main__:home:149 - None:0-->Warning: QRhiGles2: Failed to make context current. Expect bad things to happen.
2025-11-28 10:59:11 | WARNING  | __main__:home:149 - None:0-->Warning: Failed to start frame
2025-11-28 11:05:13 | DEBUG    | __main__:home:116 - add http log success
2025-11-28 11:05:13 | INFO     | __main__:home:140 - 小程序启动
2025-11-28 11:05:13 | ERROR    | __main__:home:158 - 错误：QML组件加载失败
2025-11-28 11:05:13 | ERROR    | __main__:home:158 - file:///I:/Program/PySide6App/MiniAPP/src-webview/src/main.qml:29 WebView is not a type

2025-11-28 11:08:57 | DEBUG    | __main__:home:116 - add http log success
2025-11-28 11:08:57 | INFO     | __main__:home:140 - PySide6 Version 6.8.3
2025-11-28 11:08:58 | INFO     | __main__:home:140 - 添加小程序 基础模板  {'id': 'ROStart123154512a5ada6090de92ee1', 'name': '基础模板', 'author': 'ROrange', 'description': '模板-小程序基础模板', 'version': '1.1', 'logo': 'logo.png', 'widget': 'PySide6-QML'}
